State,Profit,Sales
Wyoming,100.196,1603.136
Wisconsin,8401.8004,32114.61
West Virginia,185.9216,1209.824
Washington,33402.6517,138641.27
Virginia,18597.9504,70636.72
Vermont,2244.9783,8929.37
Utah,2546.5335,11220.056
Texas,-25729.3563,170188.0458
Tennessee,-5341.6936,30661.873
South Dakota,394.8283,1315.56
South Carolina,1769.0566,8481.71
Rhode Island,7285.6293,22627.956
Pennsylvania,-15559.9603,116511.914
Oregon,-1190.4705,17431.15
Oklahoma,4853.956,19683.39
Ohio,-16971.3766,78258.136
North Dakota,230.1497,919.91
North Carolina,-7490.912200000,55603.164
New York,74038.5486,310876.271
New Mexico,1157.1161,4783.522
New Jersey,9772.913800000,35764.312
New Hampshire,1706.5028,7292.524
Nevada,3316.7659,16729.102
Nebraska,2037.0942,7464.93
Montana,1833.3285,5589.352
Missouri,6436.2105,22205.15
Mississippi,3172.9762,10771.34
Minnesota,10823.1874,29863.15
Michigan,24463.1876,76269.614
Massachusetts,6785.5016,28634.434
Maryland,7031.1788,23705.523
Maine,454.4862,1270.53
Louisiana,2196.1023,9217.03
Kentucky,11199.6966,36591.75
Kansas,836.4435,2914.31
Iowa,1183.8119,4579.76
Indiana,18382.9363,53555.36
Illinois,-12607.887,80166.101
Idaho,826.7231,4382.486
Georgia,16250.0433,49095.84
Florida,-3399.301700000,89473.708000000
District of Columbia,1059.5893,2865.02
Delaware,9977.3748,27451.069
Connecticut,3511.4918,13384.357
Colorado,-6527.8579,32108.118
California,76381.3871,457687.631500002
Arkansas,4008.6871,11678.13
Arizona,-3427.9246,35282.001
Alabama,5786.8253,19510.64
